ISO Week,Week start,Week end,Invoices,Credits,Net,Invoice count,Credit count,Documents
2024-W28,2024-07-08,2024-07-14,598.95,0.0,598.95,1,0,1
2024-W29,2024-07-15,2024-07-21,1141.52,0.0,1141.52,2,0,2
2024-W30,2024-07-22,2024-07-28,2825.9,0.0,2825.9,8,0,8
2024-W31,2024-07-29,2024-08-04,1383.55,0.0,1383.55,3,0,3
2024-W32,2024-08-05,2024-08-11,1230.99,7.67,1223.32,2,1,3
2024-W33,2024-08-12,2024-08-18,2040.59,38.99,2001.6,3,1,4
2024-W34,2024-08-19,2024-08-25,2081.04,0.0,2081.04,6,0,6
2024-W35,2024-08-26,2024-09-01,395.38,0.0,395.38,3,0,3
2024-W37,2024-09-09,2024-09-15,366.11,0.0,366.11,1,0,1
2024-W38,2024-09-16,2024-09-22,206.55,0.0,206.55,1,0,1
2024-W39,2024-09-23,2024-09-29,683.13,0.0,683.13,4,0,4
2024-W40,2024-09-30,2024-10-06,1220.05,0.0,1220.05,7,0,7
2024-W41,2024-10-07,2024-10-13,1876.71,107.32000000000001,1769.39,4,2,6
2024-W42,2024-10-14,2024-10-20,604.9300000000001,31.32,573.61,4,1,5
2024-W43,2024-10-21,2024-10-27,1263.62,0.0,1263.62,9,0,9
2024-W44,2024-10-28,2024-11-03,1020.1600000000001,0.0,1020.1600000000001,2,0,2
2024-W45,2024-11-04,2024-11-10,1320.6599999999999,0.0,1320.6599999999999,2,0,2
2024-W46,2024-11-11,2024-11-17,2030.99,10.58,2020.41,2,1,3
2024-W47,2024-11-18,2024-11-24,2545.6800000000003,0.0,2545.6800000000003,4,0,4
2024-W48,2024-11-25,2024-12-01,1617.9500000000003,72.63,1545.3200000000002,5,3,8
2024-W49,2024-12-02,2024-12-08,1873.23,0.0,1873.23,4,0,4
2024-W50,2024-12-09,2024-12-15,2868.0299999999997,113.6,2754.43,6,1,7
2024-W51,2024-12-16,2024-12-22,173.62,0.0,173.62,1,0,1
2024-W52,2024-12-23,2024-12-29,345.92,0.0,345.92,1,0,1
2025-W01,2024-12-30,2025-01-05,122.77,0.0,122.77,1,0,1
2025-W02,2025-01-06,2025-01-12,969.28,79.42999999999999,889.85,3,3,6
2025-W03,2025-01-13,2025-01-19,1657.63,0.0,1657.63,4,0,4
2025-W04,2025-01-20,2025-01-26,1023.8499999999999,0.0,1023.8499999999999,3,0,3
2025-W05,2025-01-27,2025-02-02,637.8199999999999,49.99,587.8299999999999,3,1,4
2025-W06,2025-02-03,2025-02-09,961.7,84.19,877.51,3,2,5
2025-W07,2025-02-10,2025-02-16,778.14,0.0,778.14,2,0,2
2025-W08,2025-02-17,2025-02-23,1028.41,0.0,1028.41,4,0,4
2025-W09,2025-02-24,2025-03-02,1092.8700000000001,0.0,1092.8700000000001,4,0,4
2025-W10,2025-03-03,2025-03-09,1548.6699999999998,0.0,1548.6699999999998,2,0,2
2025-W11,2025-03-10,2025-03-16,1563.59,0.0,1563.59,3,0,3
2025-W12,2025-03-17,2025-03-23,857.56,0.0,857.56,2,0,2
2025-W13,2025-03-24,2025-03-30,359.97,0.0,359.97,1,0,1
2025-W15,2025-04-07,2025-04-13,1538.03,0.0,1538.03,2,0,2
2025-W16,2025-04-14,2025-04-20,390.38,52.77,337.61,1,1,2
2025-W17,2025-04-21,2025-04-27,1178.52,0.0,1178.52,2,0,2
2025-W18,2025-04-28,2025-05-04,827.3199999999999,0.0,827.3199999999999,2,0,2
2025-W19,2025-05-05,2025-05-11,941.51,78.1,863.41,2,2,4
2025-W20,2025-05-12,2025-05-18,3335.29,25.04,3310.25,5,1,6
2025-W21,2025-05-19,2025-05-25,1775.8000000000002,90.92,1684.88,3,2,5
2025-W22,2025-05-26,2025-06-01,2198.88,93.64,2105.2400000000002,5,2,7
2025-W23,2025-06-02,2025-06-08,3004.3900000000003,41.339999999999996,2963.05,4,2,6
2025-W24,2025-06-09,2025-06-15,3907.54,248.91,3658.63,5,1,6
2025-W25,2025-06-16,2025-06-22,1581.88,44.05,1537.8300000000002,3,2,5
2025-W26,2025-06-23,2025-06-29,1017.5699999999999,49.22,968.3499999999999,3,1,4
2025-W27,2025-06-30,2025-07-06,1491.53,0.0,1491.53,3,0,3
2025-W28,2025-07-07,2025-07-13,1811.8799999999999,136.04,1675.84,5,4,9
2025-W29,2025-07-14,2025-07-20,1518.0,31.660000000000004,1486.34,2,2,4
2025-W30,2025-07-21,2025-07-27,2768.42,17.259999999999998,2751.16,4,2,6
2025-W31,2025-07-28,2025-08-03,2686.4700000000003,40.59,2645.88,4,1,5
2025-W32,2025-08-04,2025-08-10,424.1,93.24,330.86,1,2,3
2025-W33,2025-08-11,2025-08-17,2715.21,21.31,2693.9,3,1,4
2025-W34,2025-08-18,2025-08-24,2101.77,23.03,2078.74,5,1,6
2025-W35,2025-08-25,2025-08-31,746.98,0.0,746.98,2,0,2
2025-W36,2025-09-01,2025-09-07,993.3499999999999,0.0,993.3499999999999,3,0,3
2025-W37,2025-09-08,2025-09-14,918.28,0.0,918.28,2,0,2
2025-W38,2025-09-15,2025-09-21,567.37,16.48,550.89,3,1,4
2025-W39,2025-09-22,2025-09-28,805.3499999999999,54.36,750.9899999999999,4,1,5
2025-W40,2025-09-29,2025-10-05,506.42,0.0,506.42,1,0,1
2025-W41,2025-10-06,2025-10-12,1252.23,22.9,1229.33,3,1,4
2025-W42,2025-10-13,2025-10-19,844.18,0.0,844.18,3,0,3
2025-W43,2025-10-20,2025-10-26,1670.0,56.12,1613.88,4,2,6
2025-W45,2025-11-03,2025-11-09,1178.24,0.0,1178.24,2,0,2
2025-W46,2025-11-10,2025-11-16,1515.83,15.88,1499.9499999999998,2,1,3
2025-W47,2025-11-17,2025-11-23,4556.41,358.21999999999997,4198.19,4,3,7
2025-W48,2025-11-24,2025-11-30,1609.73,36.05,1573.68,3,2,5
2025-W49,2025-12-01,2025-12-07,994.0,17.7,976.3,2,1,3
2025-W50,2025-12-08,2025-12-14,419.39,0.0,419.39,2,0,2
2025-W51,2025-12-15,2025-12-21,3939.11,229.27,3709.84,6,2,8
2026-W02,2026-01-05,2026-01-11,446.28,9.96,436.32,1,1,2
2026-W03,2026-01-12,2026-01-18,2069.91,117.58999999999999,1952.32,3,3,6
2026-W05,2026-01-26,2026-02-01,1679.47,52.25,1627.22,2,1,3
2026-W06,2026-02-02,2026-02-08,337.0,0.0,337.0,1,0,1
2026-W07,2026-02-09,2026-02-15,545.62,0.0,545.62,2,0,2
2026-W08,2026-02-16,2026-02-22,722.22,6.54,715.6800000000001,2,1,3
2026-W09,2026-02-23,2026-03-01,1134.49,0.0,1134.49,3,0,3
2026-W10,2026-03-02,2026-03-08,371.81,0.0,371.81,1,0,1
2026-W11,2026-03-09,2026-03-15,437.85,0.0,437.85,1,0,1
2026-W12,2026-03-16,2026-03-22,1355.29,122.27000000000001,1233.02,4,3,7
2026-W13,2026-03-23,2026-03-29,742.07,0.0,742.07,1,0,1
2026-W14,2026-03-30,2026-04-05,621.38,0.0,621.38,1,0,1
2026-W15,2026-04-06,2026-04-12,1283.12,45.09,1238.03,2,1,3
2026-W16,2026-04-13,2026-04-19,1660.5600000000002,43.34,1617.2200000000003,4,3,7
2026-W17,2026-04-20,2026-04-26,2221.83,289.92,1931.9099999999999,5,3,8
2026-W18,2026-04-27,2026-05-03,265.35,31.5,233.85000000000002,1,1,2
2026-W19,2026-05-04,2026-05-10,2109.5499999999997,74.8,2034.7499999999998,2,2,4
2026-W20,2026-05-11,2026-05-17,1511.4099999999999,29.28,1482.1299999999999,2,1,3
2026-W21,2026-05-18,2026-05-24,1876.34,43.91,1832.4299999999998,4,1,5
2026-W22,2026-05-25,2026-05-31,1297.29,12.45,1284.84,3,1,4
2026-W23,2026-06-01,2026-06-07,3091.05,60.4,3030.65,4,1,5
2026-W24,2026-06-08,2026-06-14,1894.42,90.22,1804.2,3,3,6
2026-W25,2026-06-15,2026-06-21,1325.81,29.88,1295.9299999999998,2,1,3
2026-W26,2026-06-22,2026-06-28,670.7800000000001,25.330000000000002,645.45,3,3,6
2026-W27,2026-06-29,2026-07-05,1331.08,128.79000000000002,1202.29,2,4,6
2026-W28,2026-07-06,2026-07-12,1099.8400000000001,0.0,1099.8400000000001,2,0,2
